ID,xCoord,yCoord
0969,2846,2330
0869,2846,2108
1894,2846,2330
0458,2330,2846
0515,2330,2846
1844,2846,2330
1314,3408,2800
0764,2846,2107
1512,2330,2846
1090,2846,2330
0894,3408,2800
1734,2846,2330
0957,2846,2330
1347,2846,2330
0265,2981,2650
0448,2846,2330
1550,3408,2800
0814,2184,2846
1906,2330,2846
0236,3408,2800
1746,2846,2330
1432,2846,2330
1752,2846,2273
0285,2602,1931
0004,2710,2326
0290,2330,2223
1895,3408,2269
1946,2978,3001
1605,2330,2846
1818,2697,2330
1636,2330,2352
0484,2846,2330
1628,2330,2846
1322,3328,2800
0743,2714,2372
0402,2800,3408
1323,3344,2800
0501,2846,2330
1222,3408,2800
1045,2846,2330
1155,2979,2885
0490,2846,2330
1486,2846,2330
1327,2846,2330
0452,2846,2330
1747,3408,2800
0464,2846,2330
1988,2846,2330
1665,2241,2959
1555,2846,2330
0365,2846,2083
0749,3408,2800
0755,2846,2330
1201,2330,2222
1385,2978,2982
0611,2846,2330
0532,2979,2496
1279,2846,2330
1861,2846,2330
0855,2846,2330
0920,3408,2800
0841,3328,2800
0827,2189,2802
1475,2846,2330
0042,2846,2330
1695,2979,2983
1955,2846,2330
0649,2979,2984
0590,3384,2800
1343,2980,2867
0226,3408,2800
1973,2330,2145
1891,2846,2330
1548,2846,2330
1754,2846,2330
1257,2980,2487
1677,3408,2800
1242,2846,2330
1135,2846,2330
1511,2330,2846
1943,2800,3405
1600,2846,2330
1071,2800,3408
0431,2846,2242
0760,2846,2330
1581,3408,2800
0746,2846,2330
1291,2330,2595
0885,2846,2330
0857,2330,2846
1624,3408,2800
0361,3079,2800
0761,2800,3408
0168,2846,2074
1319,2846,2330
1077,2011,2755
0633,2846,2015
0720,2846,2330
1584,1549,2672
0937,3408,2800
1616,2800,3408
1843,2330,2846
0275,2846,2330
1121,2846,2330
1266,2872,2813
0604,2979,2904
1591,2793,2937
1954,2800,3408
0327,2330,2846
1822,3408,2800
0091,2846,2261
0060,2330,2846
0491,3408,2800
0499,2846,2330
1437,2846,2330
1300,3408,2800
1522,2846,2330
1498,2846,2330
1925,2846,2330
1786,2662,1816
0206,2800,3408
1997,2723,2351
1587,2330,2846
0815,3408,2800
1351,2846,2330
1755,2979,2526
